"","x"
"RT @Mo_Carter8: Don't see @J_tsar shooting back as claimed. This #AP video clearly shows that. whose telling da truth? @TroyCrossley https:…",16
"RT @Mo_vaa: @Boston_Police have you located this cat yet? he could know something RT @J_tsar: She's part of the fam http://t.co/u1HbqCuvhb”",5
"RT @MoAhmed93: The plate on the BMW says Terrorist # 1 ... spooky RT @J_tsar 

Place your bets http://t.co/snKGcxZNJY",3
"RT @MoJizel: ",11
"RT @Mojo_Bro: I have a feeling your showers are about to get very exciting. RT @J_tsar: Taking a shower after watching a scary movie is alw…",3
"RT @Moni_Ambitious: “@TroyCrossley: @J_tsar is innocent check this link
http://t.co/T6qzAfpquQ” rttttt",3
"RT @MonsterRebecca: “@J_tsar: I've become a hermit” living in your boat.",4
"RT @MorkyPls: . @j_tsar lol eat shit faget",13
"RT @Moroccanb0y: @TroyCrossley ya boy is innocent and was set up! May @J_tsar have a quick recovery and the truth will come out. I'm makin …",8
"RT @Mr_Rogers12: @JoAnnRoss real account is @J_tsar and his follower tweeted this before he was named and has since deleted it http://t.co/…",4
"RT @MR_STiXX: This is his real twitter? @J_tsar",3
"RT @MrAceBogota: @J_tsar was set up I'm convinced",22
"RT @MrFixNigeria: Hmmm...after bombing innocent people? “@J_tsar: I'm a stress free kind of guy”",4
"RT @MSNBCWatch: I bet you're stressing now. RT @J_tsar I'm a stress free kind of guy",3
"RT @mttdiablo: Bin Laden had a better hiding spot then you @j_tsar",5
"RT @Mudkap: “@J_tsar: Careful who you text http://t.co/xcYyD39RoE” 

caerful who u bom, #merica mothrfukr",27
"RT @Mudkap: “@J_tsar: lol i was jk’in”",6
"RT @muftimenk: What's noteworthy is that @J_tsar did NOT follow me @muftimenk Anyone care to notice that?",165
"RT @MuslimsArt: @J_tsar @ImRealTed I'm a Muslim. You are a shame and disgrace to Muslims and Islam! May people like you rot in hell, scum! …",12
"RT @MuslimsArt: @J_tsar @xXjungaXx I'm a Muslim. You are a shame to Muslims and Islam! May people like you rot in hell, scum! #PrayforBosto…",38
"RT @MuslimsArt: @J_tsar Anybody thinks one who calls himself a so-called ""Muslim"" 'extremist' would quote Jay-Z and Eminem lyrics?",5
"RT @MuslimsArt: @J_tsar I am a Muslim. You are a shame and disgrace to Muslims and Islam! May people like you rot in hell, you scum! #Prayf…",79
"RT @MuslimsArt: @J_tsar I am a Muslim. You are a shame and disgrace to Muslims and Islam! May people like you rot in hell, you scum!!! #Pra…",3
"RT @MuslimsArt: @J_tsar I'm a practical Muslim. You are a shame to Muslims and Islam! May people like you rot in hell, scum ! #PrayforBosto…",17
"RT @MuslimsArt: @J_tsar I'm a practical Muslim. You are a shame to Muslims and Islam! May people like you rot in hell, scum! #PrayforBoston…",5
"RT @MuslimsArt: @J_tsar I'm a practical Muslim. You are a shame to Muslims and Islam! May people like you rot in hell, scum!! #PrayforBosto…",4
"RT @MuslimsArt: @reallniggatallk @J_tsar Either your a troll or an ignorant brainwashed guy?

There are extremists in every religion",4
"RT @MuslimsArt: @reallniggatallk @J_tsar Let's be clear - Islam forbids killing of civilians and innocent people. I am American Muslim and …",13
"RT @MustaKissa6: Πιο διπλής πεθαίνεις? RT @kanekos69 ΜΑ ΠΟΣΟ ΔΙΠΛΗΣ!! @J_tsar Being bilingual is da bomb",3
"RT @MyNamesKameron: Hey @J_tsar http://t.co/xr9RZEsz70",3
"RT @MYSTIKALGOD666: IM DONE “@J_tsar:  Bang! Bang!”",4
"RT @MyWhiteNinja: “@BDinza: Personally, I believe @J_tsar is innocent. This is 1piece I evidence. #freejahar http://t.co/sWAzKs7lWL” http:/…",3
"RT @N_Utama_O: #bostonmarathon RT @OhhHeyItsJV: @TroyCrossley I believe in @J_tsar 's Innocence!",3
"RT @N4um1: .@sunseeker32 @TroyCrossley He seems to be the only one with a backbone. Others that interacted with @J_tsar on Twitter protecte…",3
"RT @NabilaE: “@TroyCrossley: Italy, Chechnya, America, Zimbabwea, Canada, england,Mexico and more
support @J_tsar  and #TrorCrossleyTruth” ✌",3
"RT @nailbiter111: Boston Marathon suspect #2's Twitter page is full of creepiness @J_tsar - Dzhokhar Tsarnaev",6
"RT @NarkoticNWLDN: @TroyCrossley was wondering if there was anyone else that believes @J_tsar was innocent, glad to see there are #TroyCros…",3
"RT @NARRYMeKames: Don't hate me but I believe that @J_tsar is innocent, http://t.co/AlTm4AMbRL",49
"RT @natalie_torrez: @J_tsar  He's not a terrorist...I don't know him but something tells me he didn't want to hurt anyone Xx",4
"RT @natashya_g: Another ironic tweet from the Boston bomber, a month before the marathon. Disturbing RT @J_tsar: Death is the destroyer of …",9
"RT @NathanCaminade: “@J_tsar: I'm a stress free kind of guy” Le mec qui se dit pas stresse alors qu'il est recherche par le FBI et la moiti…",3
"RT @NbeFly: This kid @J_tsar had me crackin up http://t.co/lafBDuTMfN",5
"RT @nburzych: “@J_tsar: I'm a stress free kind of guy” says the guy hiding in a damn boat.",4
"RT @ncyr9: Twitter account of the alive #BostonBomber @J_tsar and a picture of the dead one http://t.co/Qazts0mmLI",16
"RT @ndorokakung: kepolisian Boston akhirnya menangkap @J_tsar si tersangka. warga bertepuk tangan.",19
"RT @ndorokakung: memantau tersangka bom Boston si @J_tsar yang sedang di-bully",3
"RT @nEvolvingEntity: IDC I don't believe @j_tsar did the bombing in Boston. Unfollow me if it makes you feel better but that's my view and …",18
"RT @NewsManRob: Picture of @J_tsar on the ground in handcuffs. Bleeding. #Boston #bostonmanhunt #captured #Watertown  http://t.co/VSFxz2V1Bv",27
"RT @NewsReputation: A selection of relevant  personal tweets published by  Dzhokhar Tsarnaev (Jahar). Twitter account @J_tsar http://t.co/O…",6
"RT @NewsReputation: How Dzhokhar Tsarnaev (Jahar) friends reacted in Twitter when they learnt that he was Boston bombing suspect @j_tsar ht…",7
"RT @Nezzstradamus: Look at Satan. RT @J_tsar: Ain't no love in the heart of the city, stay safe people",5
"RT @NFLRT: If you're one of the 60k+ that follow this guy @J_tsar, please find a way to unfollow yourself.",58
"RT @NiceGuyAnt: They got that out quick RT @JesuSammantha: “@Him_Ignorant: During the arrest of @j_tsar http://t.co/bwpPozg1Jb” is he bleed…",5
"RT @Nick_Underhill: Just when you start wondering how no one had a clue ... RT @J_tsar ""September 10th baby, you know what tomorrow is. Par…",3
"RT @NickKristof: Been looking at tweets by @J_tsar, believed to be Boston suspect. Most eerie: RT @J_tsar: I'm a stress free kind of guy",6
"RT @Nicksekuterski: @J_tsar Where you at bro?",3
"RT @nicktolive: “@J_tsar: I'm a stress free kind of guy” bet you stressin now lol",5
"RT @nikkoleMTV: WTF @j_tsar commented on a photo from the bombing HE committed saying it was a fake story. SICK. http://t.co/j4hxcwJ8Uc",4
"RT @NimbleDave: .@J_Tsar seems like a pretty average dumb college kid from his tweets.",3
"RT @nizhyardosky: @Shayr13 @hazheenm @j_tsar check this out http://t.co/rzslFgZ5tC",3
"RT @Nollie_Burt: @j_tsar you are a sick fuck I hope you burn in hell you piece of shit",3
"RT @Novacanex33: Why is everyone following this crazy mf? @J_tsar",4
"RT @NTagouri: Has anyone else read @J_tsar's (Dzhokar Tsarnaev) tweets and is freaked out bc of how ""normal"" he seems. Reality: You can't t…",3
"RT @NTagouri: Oh my gosh :( RT @J_tsar I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot remain an i…",5
"RT @NTagouri: The bombing suspect tweeted this 8 days ago. RT @J_tsar Most of you are conditioned by the media",6
"RT @nzrnrdn: Don't think you're the Boston bomber mate. Innocent until proven guilty RT @J_tsar: Ain't no love in the heart of the city, st…",8
"RT @Obey_Bryce23: No one can find this nigga @j_tsar he's too good at Manhunt",3
"RT @ofarry: To all those 80,000 people now following Boston bombing suspect @J_tsar: he is unlikely to be tweeting for a while.",48
"RT @OfficialAlexJay: If @J_tsar was the homie who set up the bombs in the Boston Marathon why is everybody following hiim!?",4
"RT @OhhHeyItsJV: @TroyCrossley I believe in @J_tsar 's Innocence!",4
"RT @ohyeahpunk: They're saying that @J_tsar is Dzhokhar Tsarnaev's twitter account. Lyrics from rent have never seemed so disturbing. http:…",3
"RT @omalestafeito: se o Nilton tivesse copiado piadas do @J_tsar agora estava à rasca",4
"RT @OnlyChelsea93: one of the kids who did the bombing in Bostons twitter account is @J_tsar he tweeted about Louisville on 4/9. be careful…",3
"RT @OpieRadio: CONFIRMED! Here's Suspect #2 twitter account @J_tsar",9
"RT @Orteezy27: @iKingAnthony @j_tsar @therealabdul_ lol terrorists having some allergies.",3
"RT @OutFM: I'm weirded out that the alleged #Boston bomber was a huge Rent fan ""28 Mar @J_tsar Five hundred twenty five thousand six hundre…",7
"RT @OwensDamien: Why are people following @J_tsar? Barring a major lapse in security, he won’t be tweeting again any time soon.",3
"RT @paddydpaddyd: @J_tsar prepare to get hazed by america you pussy",3
"RT @PaddyQ: Hey @j_tsar - Better go down swingin  you jerkoff otherwise you're in for some #samadams through a #larrybirdjersey #bostonbapt…",9
"RT @palafo: “i have smoked too many blunts with this kid” Day of disbelief for @J_Tsar Twitter timeline via @allaboutgeorge http://t.co/YKC…",5
"RT @Pali_Mudda: Spread the word in my eyes @J_tsar is innocent, what he's accused of doesnt add up @TroyCrossley  #TroyCrossleyTruth http:/…",142
"RT @Papa_Pirate: Free @J_tsar",3
"RT @PapiKojo: Bomber's twitter &gt;&gt; @J_tsar",7
"RT @PapiKojo: You getting your headcut soon “@J_tsar: Got me a haircut, I don't usually do those”",38
"RT @PascalNegre: Quel moment troublant de consulter le compte de ce jeune mec,19 ans,poseur de bombes à Boston et en fuite @J_tsar  Pourquo…",10
"RT @Passionweiss: As if there weren't enough reasons to hate this guy: RT @J_tsar: Keep max b in jail”",7
"RT @Pat_Sofia: Good move giving yourself up to police @J_tsar you coulda ended up lookin like your coward brother http://t.co/bo9Jvr8Uv9",3
"RT @Patches72726: @FreeJahar_ @j_tsar whoever controls the media controls the mind - Jim Morrison",6
"RT @PatFrmMoonachie: RT“@J_tsar: I'm a stress free kind of guy”..I heard you tend to blow up at people..you should get a dog..maybe a Bosto…",5
"RT @PatMcAfeeShow: Been reading the ""suspect's"" twitter account ( @J_tsar).. Completely befuddled",45
"RT @PatrickONeillT: @carlosdiazq @yeni31 @J_tsar Jahar is innocent! RT@sicklure: @BarackObama @TroyCrossley #troycrossleytruth http://t.co/…",9
"RT @PatrickPower1: If you are following @J_tsar who killed 4 of our family members in Boston you need help. Why the fuck would you support …",6
"RT @PaulCapestany: Ran all 1,096 of suspected Boston Bomber @J_tsar's tweets through word counter. Conclusion: kid sure liked to cuss http:…",8
"RT @PaulEtienne: I'm not condemning @J_tsar yet.. I'm glad he's still alive. There's always two sides to every story",9
"RT @PAustin_: “@J_tsar: I'm a stress free kind of guy” how ya feelin' right about now? Still stressfree? #BostonStrong",4
"RT @PharrellYokoOno: Hmmm #BostonBombing #Boston RT @Jessweetly: i don’t know @J_tsar is innocent or guilty when i look this pic http://t.c…",20
"RT @PhilipeCarv25: Dear Dzhokhar Tsarnaev @j_tsar http://t.co/nJDoCRH7ck",6
"RT @Philosophy_Muse: Interesting: the twitter account of the Boston Marathon Bomber: @J_tsar",34
"RT @PHiZZURP: Suspects twitter @j_tsar",8
"RT @pjs61176: All you #idiots talking about freeing @J_tsar  explain this photo  you should be praying for this poor kids family. http://t.…",26
"RT @pmhoffenberg: Photo of @J_tsar (Dzhokhar Tsarnaev) in the boat which @Boston_Police located him in. #WaterTown #BostonStrong #CNN http:…",6
"RT @politicsofamy: But not 4 ur terrorist brother. U ran his shit the fuck over. Lol. @J_tsar: I'll always break for a crossing squirrel”",21
"RT @polymath22: #FF @ExactLikeness @J_tsar please draw pic of #DeniseRichard fleeing scene of #BostonBombing. here is template http://t.co/…",3
"RT @PonchoMunoz: Esta es la supuesta cuenta de Dzhokar Tsarnaev  @J_tsar sospechoso en #Boston según @CNNEE ""lean sus tweets""  http://t.co/…",5
"RT @poutsokefalos: Μην κάνετε μενσιον τον @J_tsar γιατί σας παρακολουθεί το #FBI λέει χαχαχαχαχαχα κοίτα, αν έρθουν σπίτι να φέρουν κανένα …",3
"RT @princessg4y: how many followers do you think @J_tsar had before he decided to blow up boston",3
"RT @princessxsoko: Don't hate me but I think @J_tsar is innocent.. http://t.co/DWAfcYZrs1",36
"RT @pspoole: Interesting watching US Muslims denounce @DrZuhdiJasser as their enemy rather than @J_tsar. Is this the American Muslim mainst…",6
"RT @PTIrevolution: . @J_tsar 's friends say they don't believe he did it and is set up by the gov. http://t.co/poCM8De5XV",3
"RT @PunkyGang: “@J_tsar: #ilove http://t.co/qj1ZqXODkp” this dude has on polo boots! He wasn't ready to die. I swear this is a set up now...",10
"RT @pura_vidaaaa: I dont believe @j_tsar did the bombing in Boston. Unfollow me if it makes you feel better. My view, you cant change it #F…",3
"RT @QuebecAnonyme: Leaked photo of Djohar Tsarnaev a.k.a @J_Tsar in the hospital. #bostonmarathon #boston #watertown http://t.co/hbDQI1Zp60",5
"RT @Queencess_Minx: Then there was this pic! RT @Jessweetly: i don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/V1…",39
"RT @QueerCaust: Report spam to get this account banned
&gt;@J_tsar&lt; 
We don't need him and neither does twitter
Report to show respect f…",3
"RT @R9Rai: Awkward... RT @J_tsar I'm a stress free kind of guy",4
"RT @rachelveronica: He ran over his brother, stupid. MT @entracinglilmis: @J_tsar I feel bad for him, He saw his brother die. That never fe…",5
"RT @rayyychhh: “@J_tsar: Being bilingual is da bomb” bad word choice?",5
"RT @RazNasser: If you have been paying any attention to the news, you'd find how contradicting it is. We should fight for @J_tsar 's innoce…",3
"RT @RConfidencial: ""Tuit"" hace dias  de uno de los que activaron bombas en Boston  @J_tsar: Ain't no love in the heart of the city, stay sa…",4
"RT @realbrodyjamie: @j_tsar are you team Edward or team Jacob?",3
"RT @realbrodyjamie: @j_tsar hey are you a belieber or a directioner?",6
"RT @RealDasch: @J_tsar it's going to be much hotter than 103.4 in hell you bitch",10
"RT @RealDasch: @J_tsar wow don't quote the legend @Eminem you little bitch",8
"RT @RealDasch: Give yourself up you little BITCH. @J_tsar &lt;-- Suspect #2 Twitter account. Boston marathon bomber AMERICA WILL FIND YOU @…",17
"RT @RealDasch: WE GOT HIM -&gt;&gt;&gt; @J_tsar",8
"RT @RealDasch: We got him and he is alive! You dumb fuck @J_tsar",7
"RT @reallniggatallk: @MuslimsArt @J_tsar all u muslims like to kill innocent ppl! Fuck you! Go back to afghanistan!",6
"RT @realmahad: I think @J_tsar is innocent.",4
"RT @realmilesbrgss: #followfriday #FF #FOLLOWFRIDAY @J_tsar @J_tsar @J_tsar",4
"RT @realsuarez: Feds took over @J_tsar account. Dudes tweets are being deleted and unfollowing like crazy.",5
"RT @ReauxVoodoo: So fucking crazy how everyone @J_tsar was mentioning have locked twitter pages now",43
"RT @RecklessRaquel_: They got the 2nd suspect @J_tsar. He's alive &amp; surrounded ",4
"RT @regiabel: Esta es la cuenta del malandro bombardero #porsiselesofrece dejarle recado. @j_tsar",5
"RT @RenandaY: I don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/WvLwHuPSPF",4
"RT @Rene_devries: @FreeJahar_ @J_tsar Boston Bomber Last message on Facebook to his Father : I have never done it , they set me up http://t…",9
"RT @RevolutionUK_: #Boston bomber Dzhokhar Tsarnaev was happy to see a certain someone re-elected last November. @J_tsar http://t.co/Rpssu5…",7
"RT @RexHarrisonsHat: Die in a fire plz RT @TroyCrossley: People like @J_tsar and chris kyle are in the same boat",4
"RT @Rharvley: It kills me that the #bostonbomber @J_tsar has gained 30k followers today. He's not gonna tweet guys.. He's busy hiding like …",4
"RT @RhysNYC: Does the vanity plate on this pic w/BMW from Dzhokar's actual account really say ""Terrorists""?!“@J_tsar: We postin' http://t.c…",3
"RT @RickiRoma: Then this... RT @fsa_media_hub: @J_tsar im shampooed as well""",3
"RT @Riley___W: #FreeJahar @J_tsar he’s innocent and here is the proof. #SetUp  http://t.co/4mWSLyHqea via @TwitPic

wtf no.",5
"RT @rnaumov333: Твиттер Джохара Царнаева похоже - @J_tsar",3
"RT @RoadToPalestine: Walla he's deep and knowledgable I tell you “@J_tsar: Most of you are conditioned by the media”",7
"RT @RobbieSebastiao: What if @J_tsar tweeted right now.",3
"RT @RobbieSherwood: Yeah, shithead, we know. @J_tsar: see no evil, hear no evil, speak no evil until the morning alarm goes off and all hel…",6
"RT @RobLoweSports: Is Twitter seriously telling me to follow @J_tsar?? Fuck that and fuck him #BostonStrong http://t.co/Lur69Ko0HC",4
"RT @rosana: A CNN deu que o perfil do suspeito vivo e caçado é @J_tsar . Quase todos os amigos dele fecharam os perfis. Mas dá pra ver em c…",8
"RT @rosana: Amigos do @J_tsar fecharam perfis. Mas dá pra ver alguma coisa no cache do google. Outros estão abertos.Todos falam bem dele.",4
"RT @rosana: Da TL do suposto perseguido - "" RT @J_tsar: its kind of like we're living in times where good is evil and evil is good """,5
"RT @rosana: O suposto ~terrorista~ RT @J_tsar I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot rema…",6
"RT @RoseFantilanan1: I believe that @J_tsar is innocent. Maybe someone push them to do this kind of things 4 something or someone they care…",3
"RT @ROzbolt662: @J_tsar here's your brother you piece of shit http://t.co/fA8b0gx5uK",6
"RT @RTDouchebags: Bomb suspect @j_tsar tweeted this to @TroyCrossley &amp; @xXjungaXx while this was going on http://t.co/U9IA3in5DC http:/…",5
"RT @rthstn: @J_tsar followed me, which means someone is accessing his account",5
"RT @RubinReport: Not anymore, asshole. RT @J_tsar: I'm a stress free kind of guy",10
"RT @Rudolphhh: People are following this dude @J_tsar as if he is ever going to tweet again",3
"RT @Ruhh_moan: The actual twitter account of Dzhokar Tsarnaev ( @J_tsar ).",6
"RT @russian_market: So now if Police know that Tsarnaev's twitter account is @J_tsar. Why can't they locate him?",3
"RT @RyadAlly: This Is Dzhokhar Tsarnaev's Actual Twitter Account @J_tsar
#BostonMarathonExplosion is #FalseFlag ops
#dzhokhar 
http://t.co/…",3
"RT @Ryan_Francisco5: Man i really believe @J_Tsar is innocent..and he will not stand the chance of a fair trial. The Usa is one fucked up c…",4
"RT @ryan_jurek15: #letsmakeitawkward @Boston_Police  @j_tsar #merica",7
"RT @RyanAdil: حساب ""الارهابي"" الهارب المتهم ب #انفجارات_بوسطن في تويتر @J_tsar وفي احدى تويتاته يتكلم عن مسلسل بريكينق باد !",6
"RT @ryancarroll02: @J_tsar your older brothers waiting for you #comejoin http://t.co/gK3cdCmnJf",21
"RT @ryanwrd: Kendrick Lamar reference! RT “@J_tsar: No one is really violent until they're with the homies”",5
"RT @rykov: Tsarnaevs father told about his sons last call (video Life) http://t.co/e24sSJVNGD #CNN #BOSTON #USA @J_tsar",6
"RT @s_alabdool: @J_tsar هذا حساب ""جهار"" المتهم الثاني في تقجيرات بوسطن باميريكا

#Watertown 
#الإرهاب",7
"RT @S0r4y4S: @TroyCrossley #troycrossleytruth I know this is a conspiricy. @J_tsar  is innocent.",5
"RT @sachs1995: @J_tsar for future reference: if you're gonna use a boat to escape make sure it's in water, not Watertown.",3
"RT @sallesino: El twitter de Dzhokhar Tsarnaev @J_tsar obtuvo 17,000 followers en quince minutos. Mal ejemplo para los tuitstars.",5
"RT @SalmaElnajjar: How everyone is sending hate tweets to @J_tsar is unreal! What happened to ""innocent until proven guilty""?",5
"RT @Sam_Richison: Miss your brother yet? @j_tsar http://t.co/iDR1iceVco",126
"RT @samanthER_xo: @J_tsar you ain't fuckin with my clique ",9
"RT @SamJo4546: Wow. 
"" INTERESTING - Makes you wonder what the #Truth really is - WATCH
@J_tsar @TroyCrossley #TroyCrossleyTruth http://t.c…",21
"RT @samr733: if your bored this is the Boston bombers twitter @j_tsar",5
"RT @samuelcnn: @J_tsar @Kid_Wavyy  im from CNN and we're interested to know if you know mr. Tsarnaev",11
"RT @samuelcnn: @sotirop_evi @J_tsar  im from CNN and we're interested to know if you know mr. Tsarnaev",5
"RT @SamuelCoates: The real Boston bomber account -&gt; RT @J_tsar If you have the knowledge and the inspiration all that's left is to take …",3
"RT @SandiBehrns: RT @joshtpm: Okay twitter keeps recommending I follow @J_tsar, Dzhokhar's twitter acct.  Great moments in algorithms",3
"RT @SandraRose: Everyone on @j_tsar's timeline has padlocked their Twitter pages.",3
"RT @SaraAldakhil: حساب الروسي الشيشاني الطليق و المسؤول عن تفجيرات بوسطن في تويتر @J_tsar شوفوا بالله اخر ريتويت مسويه لمين!! #الله_يستر #ب…",3
"RT @sarahcamille99: Just look through @j_tsar's tweets. That the bomber. WHY DOES HE SEEM SO NORMAL WTF IS HIS PROBLEM WHY DID HE BOMB BOST…",5
"RT @SaraJoBarth: @FreeJahar_ @J_tsar check it out http://t.co/09VmGjBppn",8
"RT @SarauniyaGH: Free @j_tsar. Your real enemy is the government and the media they control that you're conditioned to. http://t.co/b7vh9We…",33
"RT @Sarmatspeaks: Alleged Boston bomber @J_tsar retweeted @muftimenk 's tweet. Everyone retweets his tweets, whats the Big DEAL. Stop hatin…",3
"RT @sawsanpuali: @TroyCrossley  support 4m Lebanon... free innocent @J_tsar",7
"RT @SchamsEU: I just read #Boston's suspect @J_Tsar's TL from February to now: seems a smart &amp; kind 19-year-old struggling with life. N…",5
"RT @ScottKinmartin: Twitter account of #BostonBombing suspect, Dzhokhar Tsarnaev, uncovered: @J_tsar http://t.co/96kh773I68 #Watertown #man…",3
"RT @seancourt: love the logic of following @J_tsar (the bomber on the run) like he'll just suddenly tweet 'shit!' or something",4
"RT @SeanGoonie: It's so weird looking at this Boston Bomber's Twitter. He didn't not seem like a terrorist like that @J_tsar if you're inte…",6
"RT @Seantaneous: @J_tsar is you dead cuh.",3
"RT @Seeking4Allah: @MLGAndria @faith_and_peace @J_tsar @ZBurke15 there are more then 2 navy seals http://t.co/cc5PJ6iq0G",3
"RT @Seeking4Allah: #FreeJahar @J_tsar he’s innocent and here is the proof. #SetUp http://t.co/s0RlAAeMmU http://t.co/uGzblLXDX9 http://t.co…",97
"RT @Seeking4Allah: #TroyCrosselyTruth #FreeJahar @J_tsar He surrendered without a gun, but the police shot him in the neck http://t.co/euQG…",19
"RT @Seeking4Allah: #TroyCrosselyTruth #FreeJahar ACTUAL PROOF @j_tsar WEARING BACKPACK AFTER BOTH EXPLOSIONS
http://t.co/AF7HvzW6yX #FBI st…",3
"RT @sergio_murillo: Según la CNN @J_tsar #Jahar, sería la cuenta de twitter del sospechoso Dzhokhar Tzsarnaev. #Watertown #Boston http://t.…",8
"RT @SexualManwolf: The ""Suspects"" twitter account @J_tsar , Surprisingly normal",3
"RT @SHABOOTY: “@J_tsar: Being bilingual is da bomb”.  &lt;--- bad choice of words, dude.",78
"RT @SHABOOTY: “@J_tsar: i didn't become a lifeguard to just chill and get paid, i do it for the people, saving lives brings me joy #lifegua…",5
"RT @SHABOOTY: The suspect's twitter is @J_tsar and he quoted #eminem!!! @rosenberg http://t.co/LKJQrJAaVR",27
"RT @shad0w_m0rph: Twitter wants me to follow @J_tsar ! WTF is wrong with you twitter? *smfh",5
"RT @ShakesP_: @J_tsar was framed. Who speaks out against suicides, but plants bombs to kill? Don't worry, I'll wait....",7
"RT @ShanePiotti8: #letsmakeitawkward @j_tsar @WatertownPD",3
"RT @shannonwaldrep: I think so too. RT @TroyCrossley: My boy @J_tsar is being framed",5
"RT @shea1hawaii: @J_tsar @TroyCrossley @xXjungaXx FBI will enjoy sorting through these tweets.  Troy and Junga involved in the practice exp…",4
"RT @Shef_ango: А вот и настоящий твиттер аккаунт Джохара Царнаева, задержанного под Бостоном @J_tsar",3
"RT @sheikyerbutti: Αν ο ύποπτος @J_tsar είναι όντως ο βομβιστής που συνέχισε να τουιτάρει μετά την επίθεση μιλάμε γιά πολύ meta καταστάσεις",4
"RT @ShereenHatough: ""@FreeJahar_ @J_tsar U gotta listen to this!! http://t.co/31XTSZAyq6” Suspect didn't have weapons,therefore couldn't re…",4
"RT @Shoes_Booze: @TroyCrossley if @J_tsar &amp; his bro are innocent, why'd they have so many homemade explosives? Why'd they kill a police…",3
"RT @SidDiamond: @J_tsar hey terrorist shitbag, what do you prefer?

1.lethal injection
2. Firing squad
3. The chair
4. Public stoning

My v…",3
"RT @sIeepwalking: @fbi you should let @j_tsar listen to the new sws song",3
"RT @sievepayton: Hey @J_tsar , you know what makes prison not as bad? http://t.co/adZopVs1KG",4
"RT @silvr_1: حساب مفجر بوسطن في تويتر@J_tsar وكاتب بالبايو ""سلام عليكم"" وآخر تغريده كانت ريتويت للداعية إسماعيل!!

كأن الانفجار مقصود لتشوي…",12
"RT @Sir_Slashdope: ""@Jessweetly: i don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/cwxPsyWD0b""|Oh snap (O_O)",22
"RT @sj_tvd: @TroyCrossley your a good friend!:D and I'm 100% with you on the fact that @J_tsar is innocent! The government there is just f*…",3
"RT @Smooveatl10: Search CONTINUES for 19 yr-old Boston bombings suspect Dzhokhar Tsarnaev. Armed &amp; dangerous. His twitter is @J_Tsar. h…",4
"RT @Snoop_Rx: Free @J_tsar ! He's Innocent",7
"RT @soldier7078: Love the americans they take no shit, if this was Britain this prick @J_tsar would be at 10 downing street drinking coffee…",4
"RT @SpartanGaming36: “@J_tsar: Tough loss before the finals #imhurtinginside http://t.co/2HxDwAu3QD” this is why he bombed Boston",3
"RT @SpeedTheSpartan: Reading Dzhokhar Tsarnaev's tweets ( @J_tsar ) -- Can't nobody tell me these kids weren't setup.",10
"RT @SpeedTheSpartan: RT: @J_tsar i didn't become a lifeguard to just chill and get paid, i do it for the people, saving lives brings me joy…",4
"RT @SpencerFearon: I guess Osama still holds the record for hide and seek eh @J_tsar #prepareyouranus",3
"RT @sputnik51210: @xxjungaxx @j_tsar telling everyone I know. #FreeJahar #TRUTH #freedom #peace http://t.co/sd6B6pVndb",5
"RT @sresuda: @ABC รายงานว่า นี่คือ Twitter Acc ของ Dzhokhar A. Tsarnaev วัย 19 ปี  @J_tsar ผู้ต้องสงสัยระเบิด บอสตัน ที่หลบหนีข้ามคืน",12
"RT @Srodriguez85: New twitpic for @J_Tsar #MarathonBomber http://t.co/k5OW3eoMKD",3
"RT @StayFoqused: My dude @J_tsar should turn himself in if he was reponsible for these bombings. You got 6 stars bro, lower ya wanted level.",34
"RT @steenfox: Wow. Many of the ppl @J_tsar tweeted have deleted their accts. And the 1 guy I see who didn't spends all day fielding questio…",3
"RT @stevejewbs: @J_tsar did u tink u wudnt get cauht dis iz merica",10
"RT @SteveKrak: You can go ahead and unfollow @J_Tsar now - suspect in custody. Details on @CNN TV now and all night.",29
"RT @stevenerat: Weird that @J_tsar deleted 3 tweets yesterday &amp; unfollowed 5.  Even weirder that he deleted 1 more tweet after 8pm and …",3
"RT @stevewraith: Bizzare reading @J_tsar tweets Bizarre that thousands choose to follow him after weeks events. He wont be tweeting much ov…",4
"RT @steviejoxo: Curious to know if @J_tsar 's new followers really think he is going to be tweeting or following back...No followers b4 and…",4
"RT @stylesmassacre: “@J_tsar: We try to find ways to kill time but time kills us http://t.co/rwCiFF63wl” and u found a way to kill ppl",3
"RT @Super_Negra: So @J_tsar is the real twitter account of 
Dzhokhar A. Tsarnaev",5
"RT @SupportingJahar: @J_tsar I can't wait to see you tweet one of your many perfect quotes again &lt;3 #freejahar",4
"RT @swagginsince23: RT Proof that the Boston Bombings were staged! @j_tsar i always knew you didn't do it bro.  https://t.co/HtfAKc7ANH",6
"RT @SweetGrande: you're gonna get what's coming to ya, @J_tsar.",4
"RT @swerveebruhh: This is the younger brother's twitter @J_tsar He seems like a normal kid and that's why it's so hard for me to believe he…",6
"RT @symph0nysoldier: “@J_tsar: Cereal and milk but no plates that's weak man” who eats cereal from a plate",3
"RT @symph0nysoldier: why did u bomb boston why didnt u date me instead @J_tsar",7
